GS Name,Start,Stop,Duration [sec],Min L.M. [dB],Max L.M. [dB],Data [MB]
AU-01,2026-01-03 17:20:12.034,2026-01-03 17:26:42.034,380.0,4.4188113163761,8.779988756435195,3.648
CHL-01,2026-01-03 17:47:12.034,2026-01-03 17:52:40.034,318.0,4.614399672056031,7.339097835012701,3.0528
SK-01,2026-01-03 18:38:46.034,2026-01-03 18:42:54.034,238.0,4.443152517684162,5.942906943480871,2.2848
CHL-01,2026-01-03 19:21:14.034,2026-01-03 19:29:00.034,456.0,4.59760327218887,14.147448814730929,4.3776
USA-01,2026-01-03 19:44:56.034,2026-01-03 19:52:12.034,426.0,4.636038205902786,11.793699086187182,4.0896
USA-01,2026-01-03 21:22:20.034,2026-01-03 21:24:40.034,130.0,4.6218811871143615,5.054290474901826,1.248
UAE-01,2026-01-03 21:53:36.034,2026-01-03 22:00:18.034,392.0,4.23315822506499,9.246903914814403,3.7632
UAE-01,2026-01-03 23:29:18.034,2026-01-03 23:33:42.034,254.0,4.224724214403757,6.0158710260738175,2.4384
IT-01,2026-01-04 00:59:24.034,2026-01-04 01:06:48.034,434.0,4.448557710174093,11.589641044145118,4.1664
IT-01,2026-01-04 02:34:48.034,2026-01-04 02:40:36.034,338.0,4.464313008670068,7.846728754607419,3.2448
SK-01,2026-01-04 03:46:58.034,2026-01-04 03:51:58.034,290.0,4.530862448332492,6.913807082937218,2.784
CHL-01,2026-01-04 04:38:30.034,2026-01-04 04:45:08.034,388.0,4.505000037564706,9.349532371394751,3.7248
AU-01,2026-01-04 05:02:50.034,2026-01-04 05:10:40.034,460.0,4.534674223079442,14.84460495248738,4.416
SK-01,2026-01-04 05:20:32.034,2026-01-04 05:27:32.034,410.0,4.527168248258043,10.508802480864581,3.936
CHL-01,2026-01-04 06:12:44.034,2026-01-04 06:20:18.034,444.0,4.515178389159864,12.113234446937405,4.2624
USA-01,2026-01-04 09:01:30.034,2026-01-04 09:09:24.034,464.0,4.489968010231657,14.70249150189779,4.4544
UAE-01,2026-01-04 10:04:54.034,2026-01-04 10:12:46.034,462.0,4.355546755205033,15.562811500754172,4.4352
IT-01,2026-01-04 11:47:16.034,2026-01-04 11:54:08.034,402.0,4.532629177201962,10.332287040569106,3.8592
IT-01,2026-01-04 13:22:24.034,2026-01-04 13:28:44.034,370.0,4.540838846614058,8.807668973961718,3.552
AU-01,2026-01-04 15:43:46.034,2026-01-04 15:48:54.034,298.0,4.40884110525699,6.807881484041381,2.8608
SK-01,2026-01-04 17:00:08.034,2026-01-04 17:07:30.034,432.0,4.411641822037133,11.293484215887496,4.1472
AU-01,2026-01-04 17:17:34.034,2026-01-04 17:24:16.034,392.0,4.4231520872802506,9.233852414667119,3.7632
CHL-01,2026-01-04 17:44:44.034,2026-01-04 17:50:00.034,306.0,4.584981792003084,7.056005268074877,2.9376
SK-01,2026-01-04 18:36:04.034,2026-01-04 18:40:36.034,262.0,4.425371342280776,6.281424404026403,2.5152
CHL-01,2026-01-04 19:18:40.034,2026-01-04 19:26:28.034,458.0,4.5892119050990985,14.453051273845212,4.3968
USA-01,2026-01-04 19:42:28.034,2026-01-04 19:49:38.034,420.0,4.622042635666084,11.30052458129331,4.032
USA-01,2026-01-04 21:19:22.034,2026-01-04 21:22:32.034,180.0,4.609634212242192,5.432108903702947,1.728
UAE-01,2026-01-04 21:51:10.034,2026-01-04 21:57:40.034,380.0,4.200106779113973,8.767727648168893,3.648
